brawler1,brawler2,brawler3,picks,wr,map
JANET,MAISIE,MELODIE,9,0.444444444,hockey_cool_box
BUSTER,GRAY,MEEPLE,9,0.888888889,hockey_cool_box
BELLE,MEEPLE,MR. P,9,0.277777778,hockey_cool_box
GRAY,MORTIS,STU,9,0.555555556,hockey_cool_box
FRANK,GRAY,STU,9,0.944444444,hockey_cool_box
BELLE,GRAY,SAM,9,0.277777778,hockey_cool_box
BEA,CARL,LOU,9,0.111111111,hockey_cool_box
MAISIE,OLLIE,STU,9,0.944444444,hockey_cool_box
COLETTE,MAX,STU,9,0.333333333,hockey_cool_box
HANK,LEON,MAX,9,0.888888889,hockey_cool_box
LOU,MELODIE,MR. P,9,0.555555556,hockey_cool_box
MAX,MORTIS,OLLIE,9,0.777777778,hockey_cool_box
BEA,BYRON,MEEPLE,9,0.666666667,hockey_cool_box
GRAY,JACKY,MEEPLE,9,0.444444444,hockey_cool_box
GRIFF,MEEPLE,MELODIE,9,0.333333333,hockey_cool_box
BELLE,LEON,MR. P,9,0.666666667,hockey_cool_box
GRIFF,MAX,MR. P,9,0.5,hockey_cool_box
AMBER,GRAY,MEEPLE,9,0.444444444,hockey_cool_box
CHESTER,JANET,MEEPLE,9,0.5,hockey_cool_box
CARL,FRANK,GRAY,9,0.444444444,hockey_cool_box
BELLE,FRANK,MEEPLE,9,0.666666667,hockey_cool_box
BEA,LOLA,MELODIE,9,0.444444444,hockey_cool_box
GRAY,GUS,LOU,9,0.444444444,hockey_cool_box
GRIFF,LOU,STU,9,0.555555556,hockey_cool_box
GENE,GRAY,MEEPLE,9,0.666666667,hockey_cool_box
BEA,GRAY,PENNY,9,0.444444444,hockey_cool_box
GRAY,MR. P,OLLIE,9,0.888888889,hockey_cool_box
CARL,GRAY,PIPER,9,0.111111111,hockey_cool_box
GRAY,MAX,SPIKE,9,0.611111111,hockey_cool_box
GUS,MELODIE,OLLIE,9,0.222222222,hockey_cool_box
FRANK,GRAY,MEEPLE,9,0.444444444,hockey_cool_box
COLETTE,MAX,MR. P,9,0.333333333,hockey_cool_box
BELLE,JANET,OLLIE,9,0.111111111,hockey_cool_box
LEON,MAX,PIPER,9,0.333333333,hockey_cool_box
CARL,JANET,LOU,9,0.444444444,hockey_cool_box
HANK,MR. P,POCO,9,0.333333333,hockey_cool_box
GRAY,MAISIE,MEEPLE,9,0.444444444,hockey_cool_box
MEEPLE,MELODIE,MR. P,9,0.444444444,hockey_cool_box
CHESTER,HANK,POCO,9,0.666666667,hockey_cool_box
GRAY,LEON,MORTIS,9,0.555555556,hockey_cool_box
FRANK,MAX,MORTIS,9,0.5,hockey_cool_box
FANG,MAX,STU,9,0.888888889,hockey_cool_box
CHESTER,MAX,POCO,9,0.111111111,hockey_cool_box
GRAY,HANK,SQUEAK,9,0.666666667,hockey_cool_box
CARL,GUS,MAX,9,0.666666667,hockey_cool_box
BEA,PIPER,STU,9,0.388888889,hockey_cool_box
GRAY,JACKY,MAX,9,0.555555556,hockey_cool_box
GRAY,MOE,STU,9,0.555555556,hockey_cool_box
FRANK,LOLA,POCO,9,0.555555556,hockey_cool_box
GRAY,LOU,MORTIS,9,0.111111111,hockey_cool_box
GUS,MELODIE,MR. P,9,0.444444444,hockey_cool_box
CARL,JANET,MELODIE,9,0.777777778,hockey_cool_box
FANG,GRAY,MR. P,9,0.333333333,hockey_cool_box
HANK,JANET,STU,9,0.555555556,hockey_cool_box
GENE,MAX,MEEPLE,9,0.555555556,hockey_cool_box
CARL,COLT,STU,9,0.388888889,hockey_cool_box
JANET,MAX,MORTIS,9,0.444444444,hockey_cool_box
BELLE,MEEPLE,MEG,9,0.333333333,hockey_cool_box
BELLE,GRAY,LOLA,9,0.333333333,hockey_cool_box
BEA,POCO,STU,9,0.5,hockey_cool_box
FANG,GRAY,LEON,9,0.888888889,hockey_cool_box
BUSTER,LOU,SAM,9,0.666666667,hockey_cool_box
BEA,JANET,PENNY,9,0.111111111,hockey_starr_garden
MELODIE,SPIKE,STU,9,0.555555556,hockey_starr_garden
EMZ,MOE,STU,9,0.333333333,hockey_starr_garden
BUSTER,MELODIE,MR. P,9,0.444444444,hockey_starr_garden
BEA,LEON,LOU,9,0.888888889,hockey_starr_garden
BEA,COLETTE,MEEPLE,9,0.333333333,hockey_starr_garden
COLETTE,MEEPLE,STU,9,0.555555556,hockey_starr_garden
CARL,GRAY,SQUEAK,9,0.555555556,hockey_starr_garden
BELLE,MELODIE,MR. P,9,0.444444444,hockey_starr_garden
CHESTER,OLLIE,POCO,9,0.777777778,hockey_starr_garden
LEON,MEEPLE,POCO,9,0.333333333,hockey_starr_garden
BUZZ,GRAY,MEEPLE,9,0.5,hockey_starr_garden
MR. P,OLLIE,POCO,9,0.888888889,hockey_starr_garden
HANK,JANET,MEEPLE,9,0.555555556,hockey_starr_garden
MR. P,OLLIE,STU,9,0.666666667,hockey_starr_garden
GRAY,MEEPLE,SAM,9,0.444444444,hockey_starr_garden
GRAY,MAX,SQUEAK,9,0.444444444,hockey_starr_garden
BELLE,OLLIE,STU,9,0.5,hockey_starr_garden
GRIFF,LEON,MAX,9,0.611111111,hockey_starr_garden
CARL,MEEPLE,MORTIS,9,0.666666667,hockey_starr_garden
CHESTER,LOU,MELODIE,9,0.444444444,hockey_starr_garden
CHARLIE,GRAY,SQUEAK,9,0.333333333,hockey_starr_garden
CARL,SQUEAK,STU,9,0.444444444,hockey_starr_garden
GRAY,GRIFF,STU,9,0.444444444,hockey_starr_garden
BELLE,BUSTER,CARL,9,0.555555556,hockey_starr_garden
BELLE,CARL,JANET,9,0.222222222,hockey_starr_garden
BEA,GRIFF,MELODIE,9,0.777777778,hockey_starr_garden
GRAY,HANK,MEEPLE,9,0.888888889,hockey_starr_garden
FANG,GRAY,MEEPLE,9,0.222222222,hockey_starr_garden
CARL,MAISIE,STU,9,0.166666667,hockey_starr_garden
ASH,BEA,MR. P,9,0.333333333,hockey_starr_garden
BUSTER,CHESTER,GRAY,9,0.888888889,hockey_starr_garden
BEA,LOU,MAISIE,9,0.888888889,hockey_starr_garden
BUSTER,LOU,MELODIE,9,0.666666667,hockey_starr_garden
CARL,CHARLIE,JANET,9,0.555555556,hockey_starr_garden
COLETTE,OLLIE,STU,9,0.777777778,hockey_starr_garden
CARL,OLLIE,POCO,9,0.666666667,hockey_starr_garden
CARL,MEEPLE,POCO,9,0.666666667,hockey_starr_garden
CHARLIE,OLLIE,POCO,9,0.666666667,hockey_starr_garden
CHESTER,GRAY,LOU,9,0.666666667,hockey_starr_garden
BEA,LEON,POCO,9,0.666666667,hockey_starr_garden
BEA,CHESTER,LEON,9,0.555555556,hockey_starr_garden
BEA,BELLE,CARL,9,0.666666667,hockey_starr_garden
BEA,GRIFF,OLLIE,9,0.333333333,hockey_starr_garden
FRANK,JANET,MAX,9,0.666666667,hockey_starr_garden
MAX,MELODIE,TARA,9,0.555555556,hockey_starr_garden
GUS,LOU,STU,9,0.333333333,hockey_starr_garden
CHARLIE,MR. P,STU,9,0.666666667,hockey_starr_garden
GRAY,JACKY,JANET,9,0.333333333,hockey_starr_garden
MEEPLE,MELODIE,TARA,9,0.666666667,hockey_starr_garden
CHARLIE,JANET,MEEPLE,9,0.444444444,hockey_starr_garden
CARL,CHARLIE,GRAY,9,0.333333333,hockey_starr_garden
FRANK,MEEPLE,POCO,9,0.666666667,hockey_starr_garden
CHESTER,FRANK,GRAY,9,0.333333333,hockey_starr_garden
BEA,MR. P,SAM,9,0.555555556,hockey_starr_garden
GRAY,JESSIE,MELODIE,9,0.777777778,hockey_starr_garden
BIBI,GRAY,MEEPLE,9,0.611111111,hockey_starr_garden
BUSTER,LOU,MAX,9,0.666666667,hockey_starr_garden
BEA,EL PRIMO,POCO,9,0.333333333,hockey_starr_garden
JACKY,MELODIE,STU,9,0.5,hockey_starr_garden
FRANK,MR. P,POCO,9,0.555555556,hockey_starr_garden
BEA,GUS,MAX,9,0.666666667,hockey_starr_garden
CARL,CHESTER,GRAY,9,0.222222222,hockey_starr_garden
GALE,GRAY,STU,9,0.111111111,hockey_starr_garden
JANET,MEEPLE,TARA,9,0.444444444,hockey_starr_garden
GRAY,MAX,MEG,9,0.555555556,hockey_starr_garden
BELLE,LOU,MEEPLE,9,0.333333333,hockey_starr_garden
BEA,OLLIE,SPIKE,9,0.888888889,hockey_starr_garden
BELLE,GRAY,LOU,9,0.555555556,hockey_super_center
MAX,MELODIE,SQUEAK,9,0.222222222,hockey_super_center
BUSTER,MAX,TARA,9,0.444444444,hockey_super_center
FRANK,GRAY,MR. P,9,0.444444444,hockey_super_center
LEON,MELODIE,SQUEAK,9,0.333333333,hockey_super_center
MAISIE,MEEPLE,MELODIE,9,0.555555556,hockey_super_center
BUZZ,GRAY,SURGE,9,0.333333333,hockey_super_center
CHESTER,JANET,STU,9,0.777777778,hockey_super_center
BELLE,HANK,STU,9,0.666666667,hockey_super_center
BEA,HANK,OLLIE,9,0.888888889,hockey_super_center
BUSTER,LOU,STU,9,0.888888889,hockey_super_center
CARL,GRAY,GUS,9,0.666666667,hockey_super_center
BEA,BELLE,MELODIE,9,0.777777778,hockey_super_center
BEA,GRAY,SAM,9,0.555555556,hockey_super_center
CARL,FRANK,POCO,9,0.444444444,hockey_super_center
CARL,MAISIE,MELODIE,9,0.5,hockey_super_center
BEA,EL PRIMO,JANET,9,0.666666667,hockey_super_center
BEA,GUS,STU,9,0.666666667,hockey_super_center
BELLE,STU,SURGE,9,0.333333333,hockey_super_center
GRAY,MAISIE,POCO,9,0.444444444,hockey_super_center
FANG,GRAY,STU,9,0.666666667,hockey_super_center
GRAY,JANET,MR. P,9,0.111111111,hockey_super_center
GUS,JANET,MAX,9,0.444444444,hockey_super_center
MAX,MORTIS,MR. P,9,0.888888889,hockey_super_center
CARL,GRAY,TARA,9,0.611111111,hockey_super_center
BEA,CARL,MR. P,9,0.555555556,hockey_super_center
BELLE,MAX,MELODIE,9,0.222222222,hockey_super_center
COLETTE,MAX,STU,9,0.611111111,hockey_super_center
DARRYL,GRAY,MEEPLE,9,0.666666667,hockey_super_center
BUSTER,GRAY,MAISIE,9,0.444444444,hockey_super_center
GUS,LEON,STU,9,0.5,hockey_super_center
BEA,JANET,TARA,9,0.666666667,hockey_super_center
BEA,BUZZ,JANET,9,0.666666667,hockey_super_center
GRAY,JANET,SQUEAK,9,0.555555556,hockey_super_center
CARL,GRAY,GRIFF,9,0.388888889,hockey_super_center
BEA,MELODIE,OLLIE,9,0.444444444,hockey_super_center
BEA,CHESTER,MR. P,9,0.888888889,hockey_super_center
MORTIS,OLLIE,POCO,9,0.388888889,hockey_super_center
BEA,LEON,SANDY,9,0.388888889,hockey_super_center
GRAY,MORTIS,MR. P,9,0.444444444,hockey_super_center
BELLE,FANG,MEEPLE,9,0.333333333,hockey_super_center
FRANK,MELODIE,MR. P,9,0.5,hockey_super_center
BEA,GRIFF,OLLIE,9,0.333333333,hockey_super_center
GRAY,MAISIE,MEEPLE,9,0.333333333,hockey_super_center
FRANK,HANK,MEEPLE,9,0.666666667,hockey_super_center
BEA,MEEPLE,MR. P,9,0.555555556,hockey_super_center
BEA,MAISIE,OLLIE,9,0.777777778,hockey_super_center
CARL,MR. P,OLLIE,9,0.666666667,hockey_super_center
MEEPLE,MELODIE,TARA,9,0.555555556,hockey_super_center
BUSTER,GRAY,MR. P,9,0.666666667,hockey_super_center
BYRON,LEON,MELODIE,9,0.388888889,hockey_super_center
BEA,JANET,SQUEAK,9,0.611111111,hockey_super_center
BEA,BUZZ,GRAY,9,0.444444444,hockey_super_center
BYRON,GRAY,HANK,9,0.222222222,hockey_super_center
CARL,GUS,MAX,9,0.5,hockey_super_center
GRAY,JACKY,MAX,9,0.666666667,hockey_super_center
BEA,GRAY,GUS,9,0.222222222,hockey_super_center
BIBI,MEEPLE,MELODIE,9,0.777777778,hockey_super_center
BEA,MEEPLE,SPIKE,9,0.666666667,hockey_super_center
BELLE,LEON,STU,9,0.555555556,hockey_super_center
BEA,GUS,JANET,9,0.111111111,hockey_super_center
BUSTER,MEEPLE,POCO,9,0.444444444,hockey_super_center
MEG,OLLIE,POCO,9,0.666666667,hockey_super_center
GRAY,MELODIE,SANDY,9,0.555555556,hockey_super_center
GRAY,GRIFF,LOU,9,0.444444444,hockey_super_center
JANET,POCO,STU,9,0.111111111,hockey_super_center
FRANK,MEEPLE,MOE,9,0.333333333,hockey_super_center
COLETTE,LEON,MELODIE,9,0.444444444,hockey_super_center
BEA,CHARLIE,OLLIE,9,0.833333333,hockey_super_center
GRAY,GRIFF,MEEPLE,9,0.555555556,hockey_super_center
BEA,JUJU,PIPER,10,0.6,dry_season
BYRON,GUS,JANET,10,0.6,dry_season
LEON,MELODIE,SQUEAK,10,0.8,dry_season
BELLE,MANDY,NANI,10,0.8,dry_season
CARL,MR. P,SPROUT,10,0.6,dry_season
ANGELO,GENE,PEARL,10,0.5,dry_season
GENE,PENNY,STU,10,0.4,dry_season
GENE,JANET,MELODIE,10,0.4,dry_season
ANGELO,GUS,HANK,10,0.6,dry_season
BROCK,HANK,MANDY,10,0.4,dry_season
MAX,PENNY,PIPER,10,0.2,dry_season
MANDY,MEEPLE,SQUEAK,10,0.3,dry_season
BYRON,PIPER,SPROUT,10,0.3,dry_season
GRAY,MR. P,NANI,10,0.7,dry_season
CARL,JUJU,MEEPLE,10,0.2,dry_season
ANGELO,GUS,MAX,10,0.4,dry_season
ANGELO,JUJU,PENNY,10,0.7,dry_season
LOU,MANDY,SQUEAK,10,0.8,dry_season
BYRON,GRAY,TICK,10,0.6,dry_season
